Number,City
1,Montgomery
2,Levittown
3,Embden Lake
4,New York
5,Tucker
6,Baltimore
7,Nashville
8,Cypress Gardens
9,New York
10,Pomona
11,Piscataway
12,Eugene
13,Corpus Christi
14,Waipahu
15,Hagerstown
16,Bunnell
17,Hickory Hills
18,Altamonte Springs
19,Englewood
20,Whitestone
21,Terre Haute
22,Columbia
23,Louisville
24,Visalia
25,Dallas
26,Orlando
27,White Plains
28,Benton
29,Rochester
30,Atlanta
31,Brookline
32,Ridley Park
33,Waltham
34,Burr Ridge
35,Jersey City
36,Saint Louis
37,Huntsville
38,Brockport
39,Andalusia
40,Wyoming
41,Manchester
42,Plant City
43,Baltimore
44,Atlanta
45,Zeeland
46,Hagerstown
47,Oak Lawn
48,Anchorage
49,Englewood
50,Greenville
51,Baltimore
52,Parsons
53,Media
54,Manheim
55,Denton
56,Faribault
57,Richmond
58,Dallas
59,Irvine
60,Edinburg
61,Willoughby
62,Union
63,Charlotte
64,Tonawanda
65,Kansas City
66,Dallas
67,Santa Clara
68,Garfield Heights
69,New Berlin
70,Whiteville
71,Winchester
72,Lansing
73,Chena Hot Springs
74,Greensboro
75,Gainesville
76,Sacramento
77,Baltimore
78,Washington
79,Casper
80,Bowling Green
81,Worthington
82,Fanshawe
83,Hamilton
84,Milwaukee
85,Mankato
86,Raleigh
87,Los Angeles
88,Coahoma
89,Portage
90,Milwaukee
91,Houston
92,Nutley
93,Hanover
94,Miami
95,Eagan
96,Burbank
97,Vilonia
98,Phoenix
99,Waukegan
100,Beaumont
101,Cincinnati
102,Champaign
103,Folsom
104,Hammond
105,Wenatchee
106,Lomax
107,Avoca
108,Atlanta
109,Houston
110,Buena Park
111,Beaumont
112,Broomfield
113,Preston
114,Bloomsburg
115,Foosland
116,Fort Myers
117,Atlanta
118,Cincinnati
119,Boston
120,Norcross
121,Bucyrus
122,Clinton (Hunterdon)
123,San Francisco
124,El Monte
125,Memphis
126,Hinsdale
127,Dallas
128,Chicago
129,Viborg
130,Mc Kinney
131,Syracuse
132,Mount Juliet
133,Kearney
134,Indianapolis
135,Lafayette
136,Port Clinton
137,Colorado Springs
138,Boston
139,Sacramento
140,Baden
141,Fort Worth
142,Fargo
143,New York
144,Greenville
145,Ashland
146,New Orleans
147,Syracuse
148,Marietta
149,Raleigh
150,Clinton
151,Cheshire
152,Austin
153,Lincoln
154,Grand Rapids
155,Providence
156,Las Vegas
157,Charlotte
158,Peoria
159,San Antonio
160,East Saint Louis
161,Bloomington
162,Saint Cloud
163,Burlington
164,Philadelphia
165,Bedford
166,Brentwood
167,East Providence
168,Mound City
169,Tuttle
170,Southfield
171,Hicksville
172,Jasper
173,Penns Grove
174,Winchester
175,Rochester
176,Aurora
177,Minneapolis
178,Boston
179,Oakland
180,Bloomington
181,Houston
182,Jacksonville
183,San Jose
184,Saginaw
185,Miami
186,Denver
187,Metairie
188,Winter Park
189,Woodstock
190,Warrensville Heights
191,Duluth
192,Silver Spring
193,Nowata
194,Austin
195,Hollywood
196,Denver
