RatingID,UserID,RID,Rating
1,1,234,2
2,2,378,3
3,3,222,4
4,4,238,5
5,5,212,1
6,6,17,2
7,7,265,3
8,8,36,4
9,9,42,5
10,10,315,1
11,11,72,2
12,12,60,3
13,13,144,4
14,14,255,5
15,15,111,1
16,16,207,2
17,17,303,3
18,18,216,4
19,19,92,5
20,20,171,1
21,21,213,2
22,22,335,3
23,23,313,4
24,24,253,5
25,25,254,1
26,26,326,2
27,27,20,3
28,28,175,4
29,29,46,5
30,30,180,1
31,31,309,2
32,32,274,3
33,33,78,4
34,34,194,5
35,35,191,1
36,36,60,2
37,37,258,3
38,38,209,4
39,39,373,5
40,40,163,1
41,41,19,2
42,42,156,3
43,43,287,4
44,44,144,5
45,45,251,1
46,46,185,2
47,47,58,3
48,48,296,4
49,49,289,5
50,50,30,1
51,51,211,2
52,52,9,3
53,53,242,4
54,54,272,5
55,55,97,1
56,56,207,2
57,57,251,3
58,58,230,4
59,59,274,5
60,60,228,1
61,61,291,2
62,62,111,3
63,63,58,4
64,64,208,5
65,65,156,1
66,66,142,2
67,67,21,3
68,68,296,4
69,69,40,5
70,70,165,1
71,71,289,2
72,72,84,3
73,73,75,4
74,74,50,5
75,75,310,1
76,76,166,2
77,77,204,3
78,78,157,4
79,79,13,5
80,80,368,1
81,81,376,2
82,82,282,3
83,83,316,4
84,84,153,5
85,85,104,1
86,86,53,2
87,87,308,3
88,88,244,4
89,89,46,5
90,90,147,1
91,91,7,2
92,92,250,3
93,93,168,4
94,94,120,5
95,95,378,1
96,96,116,2
97,97,218,3
98,98,216,4
99,99,87,5
100,100,365,1
101,101,77,2
102,102,15,3
103,103,262,4
104,104,170,5
105,105,24,1
106,106,276,2
107,107,304,3
108,108,370,4
109,109,359,5
110,110,73,1
111,111,283,2
112,112,131,3
113,113,313,4
114,114,125,5
115,115,274,1
116,116,267,2
117,117,377,3
118,118,234,4
119,119,141,5
120,120,349,1
121,121,234,2
122,122,22,3
123,123,133,4
124,124,29,5
125,125,282,1
126,126,344,2
127,127,34,3
128,128,233,4
129,129,232,5
130,130,253,1
131,131,320,2
132,132,226,3
133,133,361,4
134,134,179,5
135,135,25,1
136,136,98,2
137,137,76,3
138,138,242,4
139,139,2,5
140,140,68,1
141,141,292,2
142,142,51,3
143,143,141,4
144,144,260,5
145,145,339,1
146,146,327,2
147,147,29,3
148,148,40,4
149,149,363,5
150,150,198,1
151,151,20,2
152,152,187,3
153,153,15,4
154,154,205,5
155,155,73,1
156,156,349,2
157,157,27,3
158,158,360,4
159,159,56,5
160,160,314,1
161,161,131,2
162,162,128,3
163,163,96,4
164,164,23,5
165,165,277,1
166,166,255,2
167,167,146,3
168,168,179,4
169,169,22,5
170,170,260,1
171,171,86,2
172,172,160,3
173,173,182,4
174,174,262,5
175,175,172,1
176,176,212,2
177,177,255,3
178,178,367,4
179,179,60,5
180,180,33,1
181,181,186,2
182,182,241,3
183,183,10,4
184,184,116,5
185,185,84,1
186,186,216,2
187,187,154,3
188,188,22,4
189,189,120,5
190,190,61,1
191,191,362,2
192,192,336,3
193,193,211,4
194,194,334,5
195,195,63,1
196,196,109,2
197,197,84,3
198,198,312,4
199,199,47,5
200,200,140,1
201,201,368,2
202,202,120,3
203,203,196,4
204,204,85,5
205,205,306,1
206,206,149,2
207,207,343,3
208,208,215,4
209,209,283,5
210,210,224,1
211,211,363,2
212,212,121,3
213,213,255,4
214,214,115,5
215,215,206,1
216,216,13,2
217,217,278,3
218,218,229,4
219,219,157,5
220,220,331,1
221,221,347,2
222,222,93,3
223,223,294,4
224,224,250,5
225,225,113,1
226,226,328,2
227,227,323,3
228,228,118,4
229,229,347,5
230,230,68,1
231,231,36,2
232,232,288,3
233,233,82,4
234,234,213,5
235,235,146,1
236,236,68,2
237,237,60,3
238,238,74,4
239,239,302,5
240,240,33,1
241,241,5,2
242,242,70,3
243,243,198,4
244,244,114,5
245,245,64,1
246,246,72,2
247,247,254,3
248,248,362,4
249,249,165,5
250,250,148,1
251,251,141,2
252,252,204,3
253,253,277,4
254,254,224,5
255,255,171,1
256,256,364,2
257,257,92,3
258,258,291,4
259,259,313,5
260,260,70,1
261,261,138,2
262,262,231,3
263,263,28,4
264,264,188,5
265,265,84,1
266,266,61,2
267,267,366,3
268,268,338,4
269,269,62,5
270,270,287,1
271,271,359,2
272,272,2,3
273,273,255,4
274,274,276,5
275,275,83,1
276,276,4,2
277,277,105,3
278,278,112,4
279,279,369,5
280,280,174,1
281,281,129,2
282,282,233,3
283,283,46,4
284,284,284,5
285,285,69,1
286,286,56,2
287,287,176,3
288,288,213,4
289,289,318,5
290,290,197,1
291,291,262,2
292,292,46,3
293,293,106,4
294,294,166,5
295,295,60,1
296,296,89,2
297,297,278,3
298,298,216,4
299,299,306,5
300,300,170,1
301,301,372,2
302,302,288,3
303,303,359,4
304,304,213,5
305,305,302,1
306,306,175,2
307,307,30,3
308,308,33,4
309,309,163,5
310,310,208,1
311,311,350,2
312,312,210,3
313,313,264,4
314,314,130,5
315,315,134,1
316,316,282,2
317,317,194,3
318,318,148,4
319,319,16,5
320,320,109,1
321,321,10,2
322,322,114,3
323,323,55,4
324,324,19,5
325,325,73,1
326,326,289,2
327,327,23,3
328,328,160,4
329,329,150,5
330,330,97,1
331,331,324,2
332,332,23,3
333,333,119,4
334,334,50,5
335,335,280,1
336,336,338,2
337,337,85,3
338,338,22,4
339,339,68,5
340,340,302,1
341,341,327,2
342,342,282,3
343,343,289,4
344,344,109,5
345,345,240,1
346,346,348,2
347,347,207,3
348,348,299,4
349,349,342,5
350,350,248,1
351,351,351,2
352,352,227,3
353,353,278,4
354,354,60,5
355,355,159,1
356,356,358,2
357,357,81,3
358,358,10,4
359,359,130,5
360,360,47,1
361,361,293,2
362,362,248,3
363,363,336,4
364,364,341,5
365,365,271,1
366,366,301,2
367,367,31,3
368,368,348,4
369,369,4,5
370,370,99,1
371,371,29,2
372,372,42,3
373,373,274,4
374,374,156,5
375,375,312,1
376,376,285,2
377,377,2,3
378,378,326,4
379,379,346,5
380,380,274,1
381,381,159,2
382,382,298,3
383,383,339,4
384,384,270,5
385,385,229,1
386,386,251,2
387,387,312,3
388,388,143,4
389,389,172,5
390,390,164,1
391,391,334,2
392,392,111,3
393,393,223,4
394,394,367,5
395,395,257,1
396,396,178,2
397,397,322,3
398,398,11,4
399,399,346,5
400,400,128,1
401,401,244,2
402,402,370,3
403,403,63,4
404,404,62,5
405,405,162,1
406,406,215,2
407,407,261,3
408,408,292,4
409,409,177,5
410,410,6,1
411,411,11,2
412,412,274,3
413,413,20,4
414,414,350,5
415,415,212,1
416,416,236,2
417,417,149,3
418,418,332,4
419,419,376,5
420,420,251,1
421,421,357,2
422,422,107,3
423,423,201,4
424,424,159,5
425,425,321,1
426,426,80,2
427,427,278,3
428,428,6,4
429,429,340,5
430,430,40,1
431,431,120,2
432,432,316,3
433,433,345,4
434,434,244,5
435,435,326,1
436,436,79,2
437,437,182,3
438,438,172,4
439,439,293,5
440,440,306,1
441,441,256,2
