RID,CuisineID
1,39
2,45
3,77
4,26
5,75
6,10
7,66
8,40
9,6
10,8
11,33
12,25
13,80
14,87
15,25
16,48
17,86
18,79
19,69
20,45
21,86
22,50
23,8
24,18
25,37
26,23
27,69
28,49
29,36
30,64
31,21
32,52
33,88
34,4
35,12
36,22
37,31
38,46
39,20
40,35
41,78
42,31
43,77
44,9
45,69
46,18
47,71
48,25
49,26
50,78
51,84
52,81
53,56
54,71
55,20
56,69
57,65
58,72
59,30
60,68
61,5
62,36
63,22
64,76
65,69
66,12
67,27
68,37
69,90
70,85
71,45
72,44
73,15
74,56
75,69
76,12
77,79
78,41
79,60
80,70
81,57
82,9
83,46
84,33
85,48
86,42
87,79
88,38
89,24
90,43
91,90
92,2
93,23
94,59
95,12
96,9
97,84
98,9
99,78
100,38
101,60
102,3
103,13
104,85
105,57
106,85
107,11
108,80
109,19
110,53
111,15
112,8
113,58
114,66
115,84
116,48
117,19
118,56
119,15
120,91
121,21
122,15
123,70
124,23
125,34
126,15
127,32
128,59
129,44
130,6
131,55
132,26
133,84
134,66
135,44
136,1
137,35
138,31
139,69
140,20
141,42
142,81
143,79
144,48
145,60
146,30
147,91
148,41
149,90
150,13
151,33
152,59
153,72
154,1
155,66
156,14
157,28
158,78
159,46
160,46
161,9
162,69
163,66
164,63
165,59
166,40
167,9
168,62
169,66
170,43
171,92
172,82
173,62
174,12
175,82
176,70
177,89
178,13
179,71
180,33
181,25
182,45
183,21
184,86
185,89
186,87
187,30
188,56
189,24
190,74
191,87
192,74
193,71
194,41
195,56
196,51
197,8
198,48
199,27
200,24
201,48
202,15
203,71
204,80
205,26
206,18
207,38
208,7
209,78
210,3
211,73
212,76
213,16
214,52
215,68
216,10
217,68
218,63
219,32
220,77
221,63
222,12
223,70
224,88
225,72
226,5
227,34
228,46
229,84
230,24
231,74
232,68
233,87
234,24
235,81
236,89
237,12
238,67
239,67
240,4
241,17
242,89
243,58
244,29
245,19
246,7
247,21
248,75
249,85
250,49
251,77
252,86
253,57
254,23
255,65
256,66
257,15
258,7
259,1
260,31
261,52
262,11
263,36
264,39
265,86
266,32
267,19
268,28
269,14
270,55
271,91
272,80
273,13
274,47
275,8
276,49
277,78
278,13
279,52
280,74
281,62
282,6
283,24
284,36
285,29
286,31
287,68
288,47
289,38
290,72
291,54
292,69
293,41
294,8
295,50
296,22
297,85
298,53
299,85
300,18
301,8
302,88
303,87
304,75
305,9
306,4
307,38
308,30
309,46
310,68
311,67
312,32
313,87
314,53
315,20
316,19
317,70
318,67
319,76
320,76
321,32
322,11
323,83
324,26
325,86
326,74
327,88
328,13
329,23
330,50
331,13
332,73
333,85
334,69
335,39
336,2
337,31
338,38
339,1
340,50
341,4
342,15
343,12
344,11
345,92
346,28
347,3
348,64
349,7
350,16
351,33
352,91
353,57
354,4
355,58
356,4
357,69
358,77
359,18
360,7
361,71
362,56
363,78
364,48
365,40
366,56
367,82
368,77
369,30
370,50
371,83
372,71
373,70
374,18
375,57
376,41
377,70
378,31
379,91
380,34
