RID,RName,URL,Street,State,City,Phone,Zipcode,OpenHrs,CloseHrs,WiFi,Pricerange
1,Szechuan Palace,http://www.szechuanpalacegainesville.com,2031 NW 13th St,FL,Gainesville,(352) 337-0888,32608,8:00,21:00,Y,2
2,The Pizza Place,http://www.thepizzaplacefl.biz,6101 SW 8th Lane,FL,Gainesville,(847) 962-8680,32609,8:00,21:00,Y,1
3,Amelia's Italian Cruisine,http://www.AmeliasGainesville.com,235 S Main St #107,FL,Gainesville,(352) 373-1919,32610,8:00,21:00,Y,4
4,Atlantic Internet Cafe,,113 NE 16th Ave,FL,Gainesville,(352) 519-5115,32611,8:00,21:00,Y,4
5,Bagles & Noodles,,1222 W University Ave,FL,Gainesville,(352) 872-5788,32612,8:00,21:00,Y,3
6,Ruby Tuesday,http://www.rubytuesday.com,6329 W Newberry Rd Side A3,FL,Gainesville,(352) 331-0033,32613,8:00,21:00,Y,5
7,Mc Alister's Deli,http://www.mcalistersdeli.com,3262 SW 35th Blvd,FL,Gainesville,(352) 373-6364,32614,8:00,21:00,Y,5
8,Wehbe Jammin Inc,,25 NW 16th Ave,FL,Gainesville,(352) 335-3184,32615,8:00,21:00,Y,1
9,Five Star Pizza,http://www.fivestarpizza.net,4014 NW 22nd Dr,FL,Gainesville,(352) 378-9606,32616,8:00,21:00,Y,4
10,Wendy's,http://www.wendys.com,1711 N Main St,FL,Gainesville,(352) 373-7210,32617,8:00,21:00,Y,2
11,Mancino's Pizza & Grinders,,5155 SW 9th Ln,FL,Gainesville,(352) 372-9686,32618,8:00,21:00,Y,2
12,Zuzu Restaurant,http://www.zuzujolie.com,12 W University Ave Ste 206,FL,Gainesville,(352) 377-9468,32619,8:00,21:00,Y,2
13,M T's Chophouse,http://www.mtschophouse.com,3833 NW 97th Blvd,FL,Gainesville,(352) 331-7734,32620,8:00,21:00,Y,1
14,City Crepes LLC,,1031 NW 6th St Ste B1,FL,Gainesville,(352) 872-5663,32621,8:00,21:00,Y,1
15,Grill Depot,http://www.thepantry.com,3838 N Main St,FL,Gainesville,(352) 395-1332,32622,8:00,21:00,Y,2
16,Bageland,http://www.bageland.com,2441 NW 43rd St Ste 6C,FL,Gainesville,(352) 372-2435,32623,8:00,21:00,Y,5
17,Too Jay's Original Gourmet,http://www.toojays.com,3410 SW Archer Rd,FL,Gainesville,(352) 244-0973,32624,8:00,21:00,Y,1
18,China House,,1512 NE 8th Ave,FL,Gainesville,(352) 372-0765,32625,8:00,21:00,Y,1
19,Cafe Jerusalem,http://www.ufhillel.org,2020 W University Ave,FL,Gainesville,(352) 372-2900,32626,8:00,21:00,Y,4
