reviewid,UserID,RID,Content,ReveiwDate,Upvote,downvote
1,1,234,"As fancy and elegant as everything was, he made us feel comfortable.",18-Oct-10,101,31
2,2,378,"As fancy and elegant as everything was, he made us feel comfortable.",28-Aug-11,102,32
3,3,222,"As fancy and elegant as everything was, he made us feel comfortable.",19-Dec-07,103,33
4,4,238,"As fancy and elegant as everything was, he made us feel comfortable.",12-Nov-09,104,34
5,5,212,"As fancy and elegant as everything was, he made us feel comfortable.",13-Sep-10,105,35
6,6,17,"As fancy and elegant as everything was, he made us feel comfortable.",21-Jun-07,106,36
7,7,265,"As fancy and elegant as everything was, he made us feel comfortable.",13-Nov-08,107,37
8,8,36,"As fancy and elegant as everything was, he made us feel comfortable.",12-Jul-11,108,38
9,9,42,"As fancy and elegant as everything was, he made us feel comfortable.",20-Apr-08,109,39
10,10,315,"As fancy and elegant as everything was, he made us feel comfortable.",26-May-11,110,40
11,11,72,"As fancy and elegant as everything was, he made us feel comfortable.",16-Dec-10,111,41
12,12,60,"As fancy and elegant as everything was, he made us feel comfortable.",23-Jan-13,112,42
13,13,144,"As fancy and elegant as everything was, he made us feel comfortable.",23-Dec-09,113,43
14,14,255,"As fancy and elegant as everything was, he made us feel comfortable.",8-May-10,114,44
15,15,111,"As fancy and elegant as everything was, he made us feel comfortable.",2-Aug-07,115,45
16,16,207,"As fancy and elegant as everything was, he made us feel comfortable.",24-Apr-08,116,46
17,17,303,"As fancy and elegant as everything was, he made us feel comfortable.",8-Feb-09,117,47
18,18,216,"As fancy and elegant as everything was, he made us feel comfortable.",18-Nov-09,118,48
19,19,92,"As fancy and elegant as everything was, he made us feel comfortable.",14-Dec-07,119,49
20,20,171,"As fancy and elegant as everything was, he made us feel comfortable.",21-Jun-12,120,50
21,21,213,"As fancy and elegant as everything was, he made us feel comfortable.",23-Nov-10,121,51
22,22,335,"As fancy and elegant as everything was, he made us feel comfortable.",19-May-08,122,52
23,23,313,"As fancy and elegant as everything was, he made us feel comfortable.",3-Feb-11,123,53
24,24,253,"As fancy and elegant as everything was, he made us feel comfortable.",26-Jan-08,124,54
25,25,254,"As fancy and elegant as everything was, he made us feel comfortable.",28-Feb-13,125,55
26,26,326,"As fancy and elegant as everything was, he made us feel comfortable.",15-Nov-08,126,56
27,27,20,"As fancy and elegant as everything was, he made us feel comfortable.",6-Jul-11,127,57
28,28,175,"As fancy and elegant as everything was, he made us feel comfortable.",1-Mar-10,128,58
29,29,46,"As fancy and elegant as everything was, he made us feel comfortable.",9-Mar-10,129,59
30,30,180,"As fancy and elegant as everything was, he made us feel comfortable.",2-Aug-11,130,60
31,31,309,"As fancy and elegant as everything was, he made us feel comfortable.",29-Sep-09,131,61
32,32,274,"As fancy and elegant as everything was, he made us feel comfortable.",28-Sep-09,132,62
33,33,78,"As fancy and elegant as everything was, he made us feel comfortable.",4-Jul-07,133,63
34,34,194,"As fancy and elegant as everything was, he made us feel comfortable.",25-May-09,134,64
35,35,191,"As fancy and elegant as everything was, he made us feel comfortable.",3-Mar-10,135,65
36,36,60,"As fancy and elegant as everything was, he made us feel comfortable.",23-Oct-09,136,66
37,37,258,"As fancy and elegant as everything was, he made us feel comfortable.",16-Sep-10,137,67
38,38,209,"As fancy and elegant as everything was, he made us feel comfortable.",9-Sep-09,138,68
39,39,373,"As fancy and elegant as everything was, he made us feel comfortable.",12-Feb-12,139,69
40,40,163,"As fancy and elegant as everything was, he made us feel comfortable.",28-Mar-11,140,70
41,41,19,"As fancy and elegant as everything was, he made us feel comfortable.",15-May-09,141,71
42,42,156,"As fancy and elegant as everything was, he made us feel comfortable.",22-Sep-10,142,72
43,43,287,"As fancy and elegant as everything was, he made us feel comfortable.",26-Apr-08,143,73
44,44,144,"As fancy and elegant as everything was, he made us feel comfortable.",22-Feb-13,144,74
45,45,251,"As fancy and elegant as everything was, he made us feel comfortable.",30-May-10,145,75
46,46,185,"As fancy and elegant as everything was, he made us feel comfortable.",16-Dec-07,146,76
47,47,58,"As fancy and elegant as everything was, he made us feel comfortable.",5-May-10,147,77
48,48,296,"As fancy and elegant as everything was, he made us feel comfortable.",24-Jan-12,148,78
49,49,289,"As fancy and elegant as everything was, he made us feel comfortable.",14-Nov-11,149,79
50,50,30,"As fancy and elegant as everything was, he made us feel comfortable.",26-Feb-09,150,30
51,51,211,"As fancy and elegant as everything was, he made us feel comfortable.",2-Apr-09,151,31
52,52,9,"As fancy and elegant as everything was, he made us feel comfortable.",10-Nov-10,152,32
53,53,242,"As fancy and elegant as everything was, he made us feel comfortable.",30-Nov-08,153,33
54,54,272,"As fancy and elegant as everything was, he made us feel comfortable.",22-Nov-07,154,34
55,55,97,"As fancy and elegant as everything was, he made us feel comfortable.",6-Apr-10,155,35
56,56,207,"As fancy and elegant as everything was, he made us feel comfortable.",8-Mar-09,156,36
57,57,251,"As fancy and elegant as everything was, he made us feel comfortable.",14-Jul-07,157,37
58,58,230,"As fancy and elegant as everything was, he made us feel comfortable.",24-Feb-12,158,38
59,59,274,"As fancy and elegant as everything was, he made us feel comfortable.",26-Aug-08,159,39
60,60,228,"As fancy and elegant as everything was, he made us feel comfortable.",23-Jun-10,160,40
61,61,291,"As fancy and elegant as everything was, he made us feel comfortable.",20-Oct-11,161,41
62,62,111,"As fancy and elegant as everything was, he made us feel comfortable.",27-May-09,162,42
63,63,58,"As fancy and elegant as everything was, he made us feel comfortable.",26-Jun-07,163,43
64,64,208,"As fancy and elegant as everything was, he made us feel comfortable.",28-Nov-09,164,44
65,65,156,"As fancy and elegant as everything was, he made us feel comfortable.",5-Jan-09,165,45
66,66,142,"As fancy and elegant as everything was, he made us feel comfortable.",1-Mar-11,166,46
67,67,21,"As fancy and elegant as everything was, he made us feel comfortable.",25-Feb-08,167,47
68,68,296,"As fancy and elegant as everything was, he made us feel comfortable.",16-Dec-08,168,48
69,69,40,"As fancy and elegant as everything was, he made us feel comfortable.",24-Dec-10,169,49
70,70,165,"As fancy and elegant as everything was, he made us feel comfortable.",21-Feb-11,170,50
71,71,289,"As fancy and elegant as everything was, he made us feel comfortable.",15-Jul-12,171,51
72,72,84,"As fancy and elegant as everything was, he made us feel comfortable.",8-Aug-08,172,52
73,73,75,"As fancy and elegant as everything was, he made us feel comfortable.",3-Oct-11,173,53
74,74,50,"As fancy and elegant as everything was, he made us feel comfortable.",6-Mar-12,174,54
75,75,310,"As fancy and elegant as everything was, he made us feel comfortable.",9-Feb-08,175,55
76,76,166,"As fancy and elegant as everything was, he made us feel comfortable.",28-Sep-11,176,56
77,77,204,"As fancy and elegant as everything was, he made us feel comfortable.",8-Feb-11,177,57
78,78,157,"As fancy and elegant as everything was, he made us feel comfortable.",13-Sep-12,178,58
79,79,13,"As fancy and elegant as everything was, he made us feel comfortable.",13-Sep-12,179,59
80,80,368,"As fancy and elegant as everything was, he made us feel comfortable.",20-Jun-07,180,60
81,81,376,"As fancy and elegant as everything was, he made us feel comfortable.",24-Oct-07,181,61
82,82,282,"As fancy and elegant as everything was, he made us feel comfortable.",20-Nov-08,182,62
83,83,316,"As fancy and elegant as everything was, he made us feel comfortable.",7-Apr-10,183,63
84,84,153,"As fancy and elegant as everything was, he made us feel comfortable.",14-Nov-09,184,64
85,85,104,"As fancy and elegant as everything was, he made us feel comfortable.",3-Oct-09,185,65
86,86,53,"As fancy and elegant as everything was, he made us feel comfortable.",3-Dec-07,186,66
87,87,308,"As fancy and elegant as everything was, he made us feel comfortable.",4-Mar-10,187,67
88,88,244,"As fancy and elegant as everything was, he made us feel comfortable.",28-Jan-10,188,68
89,89,46,"As fancy and elegant as everything was, he made us feel comfortable.",28-Jun-08,189,69
90,90,147,"As fancy and elegant as everything was, he made us feel comfortable.",13-May-11,190,70
91,91,7,"As fancy and elegant as everything was, he made us feel comfortable.",8-Aug-07,191,71
92,92,250,"As fancy and elegant as everything was, he made us feel comfortable.",12-Sep-09,192,72
93,93,168,"As fancy and elegant as everything was, he made us feel comfortable.",9-May-11,193,73
94,94,120,"As fancy and elegant as everything was, he made us feel comfortable.",26-May-07,194,74
95,95,378,"As fancy and elegant as everything was, he made us feel comfortable.",14-Jun-09,195,75
96,96,116,"As fancy and elegant as everything was, he made us feel comfortable.",17-Mar-11,196,76
97,97,218,"As fancy and elegant as everything was, he made us feel comfortable.",26-Jul-07,197,77
98,98,216,"As fancy and elegant as everything was, he made us feel comfortable.",1-Apr-10,198,78
99,99,87,"As fancy and elegant as everything was, he made us feel comfortable.",15-Dec-10,199,79
100,100,365,"As fancy and elegant as everything was, he made us feel comfortable.",16-Nov-09,100,30
101,101,77,"As fancy and elegant as everything was, he made us feel comfortable.",22-May-12,101,31
102,102,15,"As fancy and elegant as everything was, he made us feel comfortable.",18-Jan-09,102,32
103,103,262,"As fancy and elegant as everything was, he made us feel comfortable.",21-Jul-11,103,33
104,104,170,"As fancy and elegant as everything was, he made us feel comfortable.",4-Jul-09,104,34
105,105,24,"As fancy and elegant as everything was, he made us feel comfortable.",30-Jul-07,105,35
106,106,276,"As fancy and elegant as everything was, he made us feel comfortable.",11-Jun-07,106,36
107,107,304,"As fancy and elegant as everything was, he made us feel comfortable.",30-Aug-11,107,37
108,108,370,"As fancy and elegant as everything was, he made us feel comfortable.",29-Aug-12,108,38
109,109,359,"As fancy and elegant as everything was, he made us feel comfortable.",11-Apr-08,109,39
110,110,73,"As fancy and elegant as everything was, he made us feel comfortable.",22-Jan-09,110,40
111,111,283,"As fancy and elegant as everything was, he made us feel comfortable.",12-Nov-12,111,41
112,112,131,"As fancy and elegant as everything was, he made us feel comfortable.",28-Sep-12,112,42
113,113,313,"As fancy and elegant as everything was, he made us feel comfortable.",11-Aug-10,113,43
114,114,125,"As fancy and elegant as everything was, he made us feel comfortable.",27-Mar-12,114,44
115,115,274,"As fancy and elegant as everything was, he made us feel comfortable.",4-Aug-09,115,45
116,116,267,"As fancy and elegant as everything was, he made us feel comfortable.",15-Jan-09,116,46
117,117,377,"As fancy and elegant as everything was, he made us feel comfortable.",13-Oct-09,117,47
118,118,234,"As fancy and elegant as everything was, he made us feel comfortable.",6-Feb-13,118,48
119,119,141,"As fancy and elegant as everything was, he made us feel comfortable.",1-Jun-10,119,49
120,120,349,"As fancy and elegant as everything was, he made us feel comfortable.",3-Mar-12,120,50
121,121,234,"As fancy and elegant as everything was, he made us feel comfortable.",1-Nov-12,121,51
122,122,22,"As fancy and elegant as everything was, he made us feel comfortable.",11-Oct-10,122,52
123,123,133,"As fancy and elegant as everything was, he made us feel comfortable.",20-Aug-10,123,53
124,124,29,"As fancy and elegant as everything was, he made us feel comfortable.",3-Feb-11,124,54
125,125,282,"As fancy and elegant as everything was, he made us feel comfortable.",7-Mar-09,125,55
126,126,344,"As fancy and elegant as everything was, he made us feel comfortable.",13-Jun-07,126,56
