DishID,CuisineID,Dish,TotalRating,Totalraters
1,2,Bruschetta,2,500
2,3,Bresaola,3,501
3,4,Crostini,4,502
4,5,Capicollo,5,503
5,6,Culatello,1,504
6,7,braised,2,505
7,8,Insalata caprese,3,506
8,9,Insalata russa,4,507
9,10,mozzarellas,5,508
10,11,cartilage,1,509
11,12,Olives,2,510
12,13,imbottiti,3,511
13,14,Prosciutto,4,512
14,15,Pizzette,5,513
15,16,Salami,1,514
16,17,Strolghino,2,515
17,18,Tortano,3,516
18,19,pinzimonio,4,517
19,20,Vezione verro,5,518
20,21,Acquacotta,1,519
21,22,Agghiotta di lumache (Sicilian snail soup),2,520
22,23,Agliata,3,521
23,24,Agrodolce,4,522
24,25,Bagna c¨¤uda,5,523
25,26,Garmugia,1,524
26,27,Ginestrata,2,525
27,28,Minestrone,3,526
28,29,Minestra di ceci,4,527
29,30,Minestra di pasta con pesce,5,528
30,31,Pasta e fagioli,1,529
31,32,Risi e bisi,2,530
32,33,Rag¨´ alla bolognese,3,531
33,34,Rag¨´ alla salsiccia,4,532
34,35,Sciusceddu,5,533
35,36,Sugo al Pomodoro,1,534
36,37,Maccu,2,535
37,38,fondue,3,536
38,39,Grine Sauce,4,537
39,40,Stracciatella,5,538
40,41,Bari,1,539
41,42,Biga,2,540
42,43,Bozza pratese,3,541
43,44,Buccellato,4,542
44,45,Casatiello,5,543
45,46,Ciabatta,1,544
46,47,Ciaccino,2,545
47,48,Ciriola,3,546
48,49,Colomba Pasquale,4,547
49,50,Coppia Ferrarese,5,548
50,51,Crocch¨¨,1,549
51,52,Crescentina,2,550
52,53,Farinata,3,551
53,54,Ficattola,4,552
54,55,Focaccia,5,553
55,56,Fragguno,1,554
56,57,Grissini torinesi,2,555
57,58,Michetta,3,556
58,59,Moddizzosu,4,557
59,60,Muffuletta,5,558
60,61,Neccio,1,559
61,62,Pane carasau,2,560
62,63,Pane casareccio,3,561
63,64,Pane pugliese,4,562
64,65,Pane toscano,5,563
65,66,Pane di Altamura,1,564
66,67,Panelle di ceci,2,565
67,68,Pane di Genzano,3,566
68,69,Pandoro,4,567
69,70,Panettone,5,568
70,71,Panino,1,569
71,72,Penia,2,570
72,73,Piadina,3,571
73,74,Pita,4,572
74,75,Rosetta,5,573
75,76,Schiacciata,1,574
76,77,Taralli,2,575
77,78,Testarolo,3,576
78,79,Tigella,4,577
79,80,Tortano,5,578
80,81,Focaccia al rosmarino,1,579
81,82,marinara,2,580
82,83,Pizza Margherita,3,581
83,84,Pizza alla napoletana,4,582
84,85,Pizza siciliana,5,583
85,86,Pizza pugliese,1,584
