ReviewID,UserID,RestaurantID,Content,ReveiwDate,Upvote,downvote
2001,1,1001,"I've tried many of the tacos and burritos, all delicious.  The chips are always warm and the salsa is deliciously perfect.  Can't wait to try the cactus and the beef cheek.",10/18/2010,101,31
2002,2,1002,"Mayan Chocolate YES YES YES, I want to eat it every day.  ...prices, luscious flavors from standard to creative Thai Sticky Rice.  ...is as sweet as the salty caramel ice cream thats‚Ä?
If you come here",8/28/2011,102,32
2003,3,1003,"Sides - Mushrooms, Lobster Mashed Potatoes, Asparagus.  We tried the Gulf of Mexico Blue Crab Bisque and it was divine.  The mac and cheese was absolutely amazing and rich.",12/19/2007,103,33
2004,4,1004,"They change the frozen yogurt flavors every week, and you can see...  The staple has always been delicious bubble tea but try the froyo.  The loose leaf teas are the perfect hot drink in‚Ä?
We were incredibly pleased with Mahzu Sushi & Grill.  Salmon Sashimi was a lovely buttery texture",11/12/2009,104,34
2005,5,1005,"There's no place in town that can beat their subs, I guarantee it.  Make sure to bring cash as that's all they accept.  Hot pressed with everything.",9/13/2010,105,35
2006,6,1006,"I LOVE the rustic salad and the grouper.  ...The Caprese Salad, Gnocchi Daniela and Veal Porcini are all excellent.  I ordered the gnocchi with rosa sauce, and it came piping hot.",6/21/2007,106,36
2007,7,1007,Stubbies easily has the best beer selection in town.  Try the fries with curry ketchup if you feel hunger coming on.  He was very knowledgeable and my friend and I thoroughly enjoyed...,11/13/2008,107,37
2008,8,1008,"I get all my fresh goods (produce, meat, etc.  great wine and craft beer selection.  Especially compared to Publix and Whole foods, the prices are really...",7/12/2011,108,38
2009,9,1009,"I love that all the food is organic and locally grown - very cool.  ...meat, but whenever I go to The Jones I always get the buffalo burger.  And remember to bring cash - no cards‚Ä?
Vegan and regular flavors both are amazing and unique.  Great iced coffee with coffee ice cubes.  Their coffee is delicious",4/20/2008,109,39
2010,10,1010,"Being a veg, the tempeh & sauerkraut Sadie is a personal favorite...  My favorite sandwich is the farmers market.  ...and The Sadie are my favorites and their soups are always amazing.",5/26/2011,110,40
2011,11,1011,"And honestly, that latte was probably the best I've ever had.  ...and pair perfectly with their fresh baked muffins or scones.  As an added bonus, I didn't feel judged here like I did at‚Ä?
Sample cups are available upon request.  My favorite flavor is taro -- just the right amount of tartness.  The toppings are always fresh and there's many to pick from.
The brown stew chicken falls off the bone.  And I ALWAYS get the Dulce De Leche Festivals hush puppies.  Cabbage is delicious",12/16/2010,111,41
2012,12,1012,"Hands-down, the best calzones of my life.  This place is cash only and so worth it.  They offer a ton of toppings and the Satch Salad is awesome.",1/23/2013,112,42
2013,13,1013,My favorite dish is the ropa vieja with plantanos maduros.  Cafe con leche and orange juice are my drink choices.  We love the yucca frita and the black beans and Cuban sandwiches.,12/23/2009,113,43
2014,14,1014,The meat was so juicy and fell right off the bone.  This is the best BBQ I've ever eaten.  The potato salad was phenomenal and the collard greens were spot on.,5/8/2010,114,44
2015,15,1015,...are super reasonable and their omelets and fried rice are great.  The biscuits with sausage gravy and mocha latte were also delicious.  The hash browns were cooked to a perfect golden‚Ä?,8/2/2007,115,45
2016,16,1016,"I'd recommend the turkey and apple sandwich.  I was less than impressed with my mozzarella/tomato/avocado panini.  still haven't  tried the gelato, but the cheese steak was awesome.",4/24/2008,116,46
2017,17,1017,"They also have Binggrae Melona, my favorite Korean ice cream bar.  it has everything even fresh produce that is hard to find.  ...this store over any of the other Asian stores in‚Ä?
Don't skip dessert the baklava is absolutely delicious.  Fist of all: BEST FRENCH FRIES IN TOWN",2/8/2009,117,47
2018,18,1018,"The Bo Ssam and Bibimbap are wonderful as well.  ...to provide additional servings of any of the side dishes we wanted.  ...the lunch special Pork or Beef Bulgogi, depending on what you‚Ä?
We sampled everything from a bit of dim sum to the crispy pork.  The store owners were very friendly",11/18/2009,118,48
2019,19,1019,"Warm Rosemary bread, so good with a little Spanish olive oil.  And, conveniently located next to Fresh Market.  The pastries: so many delightful treats to choose from.",12/14/2007,119,49
2020,20,1020,The stadium is a great venue even when the Gators aren't playing. You can do some serious cardio workouts. The whole stadium is open except for the actual field. The view is great from the‚Ä?,6/21/2012,120,50
2021,21,1021,"A great New York style slice, a little greasy but tasty.  Crispy, thin crust with a zing.  ...perfectly crispy crust, hot gooey cheese, perfect amount of sauce.",11/23/2010,121,51
2022,22,1022,"For dessert, I had the green tea tiramisu, which was delightful.  The roll I get is the Fire me up wasabi roll.  A trendy, fun atmosphere located in the heart of downtown.",5/19/2008,122,52
2023,23,1023,"I ordered the grouper with a white bean cake and caprese salad.  She had the duck, I had the pork chops, and we've been together ever...  Very good wine selection as well.",2/3/2011,123,53
2024,24,1024,"AMAZING pulled pork sandwich, mac and cheese AND potato salad.  Sandwich was great and the mac and cheese with very good.  This dive is the best BBQ place in Gainesville.",1/26/2008,124,54
2025,25,1025,"Their garlic rolls with the butter sauce mmmmmmmmmmmmmmmm delicious.  Blue Highway, Satchels, Big Lou's, I Love NY Pizza.  Its a must eat place when you are at UF.",2/28/2013,125,55
2026,26,1026,...started off with the sweet potato hush puppies and loved every bite.  They put a twist on everything from chicken and waffles to meatloaf.  My meal: Meat loaf with okra and vegan mac‚Ä?,11/15/2008,126,56
2027,27,1027,"Best thin crust I have had in a long time.  Yummy pizza, and wonderful calzones, good service.  Hands down the best New York style pizza in the Gainesville area.",7/6/2011,127,57
2028,28,1028,The red sauce is probably my favorite anywhere.  The guacamole is home made and usually superb.  The guac is definitely worth the trip when it's in.,3/1/2010,128,58
2029,29,1029,Simply put i love bleeding orange and blue;  and being a graduate of the University of Florida carries some real pride.    Year after year UF is rated as one of the top 5 public universities.‚Ä?,3/9/2010,129,59
2030,30,1030,"We started with the Fried Green Tomatoes appetizer.  I ordered the red beans & rice with smoked sausage, it was good.  One of my favorites is the Taste if New Orleans - a great sampler.",8/2/2011,130,60
2031,31,1031,We had cilantro naan and aloo paratha which I really enjoyed.  I had chicken tikka masala and chicken naan and it was AMAZING.  The dinner is the best Indian food I've ever had.,9/29/2009,131,61
2032,32,1032,"I love the sushi boxes, donburis, and spicy cream shrimp.  The noodle bowls and special Mexican roll are my favorite.  Back home there isn't great bubble tea.",9/28/2009,132,62
2033,33,1033,"A sweet gem here is the Butterfly Rainforest.  ...Museum of Art and the performing arts center, so there's plenty to do.  ...we're very fortunate in Gainesville that UF, and we in turn,‚Ä?
Cheeseburger was great (only $2.  ...star rating for a mix of awesomeness in the atmosphere and food areas.  Best fast food burger and fries in town.
The music is always an eclectic mix of underground music.  The owner",7/4/2007,133,63
2034,34,1034,"They have a nice beer & wine selection; the atmosphere is...  I always get a BLT on a bagel, and it's always made perfectly and...  ...of the times I've been, they've had different‚Ä?
I asked for the chili oil since I like to dip my dim sum in it",5/25/2009,134,64
2035,35,1035,"My favorites: Media Noche, Cuban and the empanadas.  Deliciously tender ropa vieja or roasted pork piled high atop rice...  The guava and cheese pastries are good too.",3/3/2010,135,65
2036,36,1036,...to still taste great even if you have a bit of travel ahead of you.,10/23/2009,136,66
2037,37,1037,"The smoked gouda grits is surprisingly light and tasty.  Excellent prices, but cash only, so make sure you have some.  There is a tempeh scramble dish I usually get for Sunday brunch...",9/16/2010,137,67
2038,38,1038,"Best of all, the house margaritas.  ...enjoy the atmosphere, which is authentic and colorful Mexican style.  Go for lunch and try the extremely economical lunch specials.",9/9/2009,138,68
2039,39,1039,"They have a wide-selection of boba tea as well, but I've had better.  I'm always stuffed when I eat those sushi or entree rice bowls.  Cantonese Pork Chop is also very good.",2/12/2012,139,69
2040,40,1040,hands-down the best pad thai i've ever eaten.  The place is located alongside the road right next to the lake.  The peanut sauce was the perfect compliment to the summer rolls.,3/28/2011,140,70
