Rid,Rname,URL,Street,City,State,Phone,Zipcode,Openhrs,Closehrs,WiFi,Pricerange
100001,Circle C Grille & Catering,http://www.circleccatering.com,"5919 La Crosse Ave, Ste 400",Austin,TX,(512) 288-6058,62145,6:00,22:00,Y,5
100002,Mexican American Legislative,,202 W 13th St,Austin,TX,(512) 499-0804,92091,9:00,22:00,N,1
100003,ACG 1392,,8702 Research Blvd,Austin,TX,(512) 452-2253,17667,8:00,23:00,Y,1
100004,Jo's Hot Coffee Good Food,http://www.joshotcoffee.com,1300 S Congress Ave,Austin,TX,(512) 852-2376,72781,6:00,21:00,Y,5
100005,Korea Restaurant,,6808 N Lamar Blvd,Austin,TX,(512) 323-0153,24494,9:00,23:00,Y,2
100006,Mandarin House,http://www.austinmandarinhouse.com,8929 N Lamar Blvd,Austin,TX,(512) 837-6361,81550,6:00,22:00,Y,4
100007,Jack In the Box,http://www.jackinthebox.com,6133 E Ben White Blvd,Austin,TX,(512) 389-0490,77132,8:00,22:00,N,3
100008,Phoenix Flight 1,,7711 Burnet Rd,Austin,TX,(512) 453-7207,70709,6:00,23:00,Y,2
100009,McDonalds,http://www.mcdonalds.com,7010 W Highway 71,Austin,TX,(512) 288-0805,51937,11:00,21:00,N,4
100010,Jeffrey's Restaurant & Bar,http://www.jeffreysofaustin.com,1204 W Lynn St,Austin,TX,(512) 477-5584,53462,8:00,20:00,Y,2
100011,New World Cafe,http://www.neworldeli.com,"3742 Far West Blvd, Ste 101",Austin,TX,(512) 340-1404,62788,9:00,20:00,N,1
100012,Chili's Grill & Bar,http://www.chilis.com,9900 S I H 35,Austin,TX,(512) 288-9300,45573,11:00,22:00,Y,2
100013,Jack In the Box,http://www.jackinthebox.com,1151 Airport Blvd,Austin,TX,(512) 928-8381,40935,9:00,23:00,Y,3
100014,Yum Yum Frozen Yogurt,,1601 Barton Springs Rd,Austin,TX,(512) 482-9402,47581,11:00,20:00,Y,4
100015,Airport Haven Hamburgers,,6801 AIR PORT BLVD,Austin,TX,(512) 459-6859,24273,9:00,23:00,Y,5
100016,Thistle Cafe,http://www.thistlecafe.com,"3801 N Capital of Texas Hwy, Ste C200",Austin,TX,(512) 347-1000,45368,9:00,20:00,N,1
100017,Mi Kafecito,,8309 Research Blvd,Austin,TX,(512) 383-5910,74693,8:00,20:00,Y,5
100018,El Pollo Regio,http://www.elpolloregio.net,102 W Powell Ln,Austin,TX,(512) 719-5052,47835,11:00,20:00,N,3
100019,Farpino's Pizzeria,,10401 Anderson Mill Rd,Austin,TX,(512) 257-3700,48814,11:00,22:00,N,1
100020,Elue Bamboo,http://www.bluebamboo71.i8.com,"12918 Shops Pkwy, Ste 300",Austin,TX,(512) 263-8889,61302,11:00,22:00,N,4
100021,El Rancho Super Mercado,,6800 Berkman Dr,Austin,TX,(512) 452-6100,86002,11:00,22:00,N,2
100022,Johnnita's Mexican Grill,,2410 E Riverside Dr,Austin,TX,(512) 707-1525,40710,6:00,23:00,Y,4
100023,Two-J'S/Sandy's Restaurant,,5609 Adams Ave,Austin,TX,(512) 453-5806,56544,8:00,21:00,N,1
100024,Deli the Downstairs,http://www.thedelidownstairs.com,211 E 7th St,Austin,TX,(512) 394-7945,22601,6:00,20:00,Y,3
100025,Which Wich,http://www.whichwich.com,2348 Guadalupe St,Austin,TX,(512) 478-9424,25433,6:00,23:00,Y,5
100026,Firehouse Subs,http://www.firehousesubs.com,"4301 W William Cannon Dr, Ste B180",Austin,TX,(512) 899-3473,77963,11:00,21:00,N,2
100027,Draker Enterprises Inc,,800 S Lamar Blvd,Austin,TX,(512) 474-0816,18520,9:00,20:00,Y,3
100028,Quiznos,http://www.quiznos.com,"3620 Ranch Road 620 S, Ste 160",Austin,TX,(512) 263-1188,47484,6:00,20:00,N,4
100029,Cafe Feliz Coffee,,10816 Clubhouse Turn,Austin,TX,(512) 280-8887,84457,11:00,22:00,Y,5
100030,Tortilleria Monterrey,,9426 Parkfield Dr,Austin,TX,(512) 833-6021,59115,11:00,20:00,Y,2
100031,Kay's Deli,,"12015 PARK35 CIR, # 202",Austin,TX,(512) 837-9877,68708,11:00,20:00,Y,5
100032,Chopstick Restaurant,http://www.chopstickaustin.com,13308 Rodeo Cv,Austin,TX,(512) 452-3999,79641,9:00,20:00,N,1
100033,Pacha,http://www.pacha.com,4618 Burnet Rd,Austin,TX,(512) 420-8758,25066,11:00,20:00,N,2
100034,New India Cuisine,http://www.newindia.us,2304 S Congress Ave,Austin,TX,(512) 445-3240,29730,6:00,20:00,Y,2
100035,K B Bar Bq,,8801 Sansom Rd,Austin,TX,(512) 928-3285,25379,6:00,22:00,N,1
100036,Capital Grounds Cafe Austin,,1401 Lavaca St,Austin,TX,(512) 476-2422,24821,11:00,21:00,N,2
100037,Hub Restaurant,,3815 Dry Creek Dr,Austin,TX,(512) 432-5390,45865,8:00,21:00,Y,1
100038,Fowlers,http://www.rcfowlers.com,"12233 Ranch Road 620 N, Ste 205",Austin,TX,(512) 918-9468,74323,9:00,22:00,N,1
100039,Little Caesars Pizza,http://www.littlecaesars.com,500 Canyon Ridge Dr,Austin,TX,(512) 837-3000,93044,11:00,23:00,N,3
100040,Texas Steakout,http://www.texassteakout.com,251 Bella Vista Cv,Austin,TX,(512) 258-7575,80220,9:00,21:00,Y,2
100041,Austin Hunan Inc,,1940 W William Cannon Dr,Austin,TX,(512) 837-2700,26487,6:00,23:00,N,4
100042,SUBWAY,http://www.subway.com,5020 Burnet Rd,Austin,TX,(512) 371-7600,33793,11:00,23:00,Y,4
100043,Thunder Cloud Subs,,903 W 12th St,Austin,TX,(512) 322-0154,39400,9:00,22:00,N,5
100044,Chuy's Restaurant,,2908 Oestrick Ln,Austin,TX,(512) 402-9876,71263,8:00,22:00,Y,2
100045,Taco Shack,http://www.tacoshack.com,6721 Burnet Ln,Austin,TX,(512) 451-0075,50794,11:00,20:00,N,2
100046,California Pizza Kitchen,http://www.cpk.com,"3401 Esperanza Xing, Ste 100",Austin,TX,(512) 836-4400,77469,6:00,20:00,Y,5
100047,Five Guys Burgers & Fries,http://www.fiveguys.com,"3208 Guadalupe St, # B",Austin,TX,(512) 452-4300,70055,6:00,20:00,N,5
100048,Mc Alister's Deli,http://www.mcalistersdeli.com,2525 W Anderson Ln,Austin,TX,(512) 452-3400,19585,6:00,22:00,N,1
100049,Freda's Seafood Grille,http://www.fredasseafoodgrille.com,10903 Pecan Park Blvd,Austin,TX,(512) 506-8702,17047,8:00,22:00,N,3
100050,Lucky Star Cafe Inc,http://www.luckystarcafe.com,"1934 Rutland Dr, Ste 500",Austin,TX,(512) 833-5055,57684,8:00,22:00,Y,2
100051,Carino's Italian,http://www.carinos.com,"9500 S I H 35, Ste B",Austin,TX,(512) 292-1658,69934,11:00,23:00,Y,2
100052,Amigo Grill & Patio,http://www.amigosgrillandpatio.net,8701 W Parmer Ln,Austin,TX,(512) 614-6361,72353,8:00,21:00,N,3
100053,French Quarter Grille,http://www.frenchquartergrilleaustin.com,1300 N I H35,Austin,TX,(512) 832-9090,19763,9:00,22:00,N,4
100054,Mathsuda LLC,,2602 Guadalupe St,Austin,TX,(512) 494-1011,37631,9:00,22:00,N,1
100055,Franklin Barbecue,,3421 N Interstate 35,Austin,TX,(512) 653-1187,42730,8:00,23:00,Y,3
100056,Taco Bell,http://www.tacobell.com,5604 Cameron Rd,Austin,TX,(512) 452-7059,87623,8:00,21:00,N,2
100057,Hao Hao Restaurant,http://www.haohaoaustin.com,"1901 W William Cannon Dr, Ste 115",Austin,TX,(512) 447-8121,50495,11:00,21:00,Y,4
100058,Gatti's Pizza,http://www.gattispizza.com,3900 Ranch Road 620 S,Austin,TX,(512) 459-2222,89440,8:00,20:00,Y,1
100059,McDonalds,http://www.mcdonalds.com,9422 N Lamar Blvd,Austin,TX,(512) 837-2772,84255,11:00,21:00,N,3
100060,KFC,http://www.kfc.com,6818 West Gate Blvd,Austin,TX,(512) 707-8494,20724,9:00,20:00,Y,2
100061,Hat Creek Burger Co,http://www.hatcreekburgers.com,5400 Burnet Rd,Austin,TX,(512) 452-2025,88800,6:00,22:00,Y,2
100062,McDonalds,http://www.mcdonalds.com,2114 W Slaughter Ln,Austin,TX,(512) 282-9581,81382,6:00,23:00,N,2
100063,Moonshine Patio Bar & Grill,http://www.moonshinegrill.com,303 Red River St,Austin,TX,(512) 236-9599,31158,11:00,20:00,Y,2
100064,Don Juan Mexican Restaurant,,2506 E Ben White Blvd,Austin,TX,(512) 326-2225,48706,6:00,22:00,Y,4
100065,Bar Louie,,123 W 6th St,Austin,TX,(512) 730-3032,37064,11:00,23:00,Y,2
100066,Extreme Pita,http://www.extremepita.com,"515 Congress Ave, Ste 130",Austin,TX,(512) 320-1560,59772,8:00,20:00,N,1
100067,Gatti Town,http://www.gattispizza.com,"9900 S I H 35, Ste V",Austin,TX,(512) 301-7777,91018,8:00,22:00,N,2
100068,Pelons Tex Mex,,802 Red River St,Austin,TX,(512) 243-7087,44933,6:00,20:00,N,5
100069,Honey Bee Ham & Deli,,"2422 Ranch Road 620 S, Ste 114",Austin,TX,(512) 263-0100,52689,6:00,21:00,Y,1
100070,Long John Silver's,http://www.ljsilvers.com,1707 Wells Branch Pkwy,Austin,TX,(512) 989-3019,42336,11:00,23:00,Y,4
100071,McDonalds,http://www.mcdonalds.com,4501 E Ben White Blvd,Austin,TX,(512) 912-7511,36556,9:00,23:00,N,5
100072,Thison,,"2121 E Oltorf St, # B",Austin,TX,(512) 443-4232,21835,11:00,23:00,Y,1
100073,Yumi Ice Cream,,4130 S Industrial Dr,Austin,TX,(512) 707-1553,21892,11:00,22:00,N,2
100074,Le Cordon Bleu College,,"3110 Esperanza Xing, Ste 100",Austin,TX,(512) 837-2665,54355,11:00,23:00,Y,1
100075,Little Tokyo,,9515 N Lamar Blvd,Austin,TX,(512) 339-7676,48291,9:00,20:00,N,2
100076,Nuevo Leon Taco Express,,8106 Espanola Trl,Austin,TX,(512) 236-8226,58135,8:00,23:00,N,5
100077,Neel's Cafe,,301 S Congress Ave,Austin,TX,(512) 330-4044,68457,6:00,22:00,Y,2
100078,Sauced,http://www.saucedosboots.com,6001 Airport Blvd,Austin,TX,(512) 533-9800,53164,6:00,20:00,Y,1
100079,Mi Guatelinda,,9428 Parkfield Dr,Austin,TX,(512) 821-2227,60853,9:00,22:00,N,4
100080,Cafe Crepe Le,http://www.cafecrepeofaustin.com,200 San Jacinto Blvd,Austin,TX,(512) 480-0084,22691,6:00,23:00,Y,4
100081,Prianha Killer Sushi,http://www.piranhakillersushi.com,207 San Jacinto Blvd,Austin,TX,(512) 473-8775,57098,11:00,21:00,N,4
100082,Night Hawk Frisco Shop,http://www.thefriscoshop.com,6801 Burnet Rd,Austin,TX,(512) 459-6279,40966,6:00,22:00,N,2
100083,Elsi's Restaurant,http://www.elsisrestaurant.com,6541 N Lamar Blvd,Austin,TX,(512) 454-0747,59465,11:00,22:00,N,5
100084,Amy's Ice Cream,http://www.amysicecreams.com,2901 S Lamar Blvd,Austin,TX,(512) 447-2697,35715,8:00,22:00,Y,3
100085,Jo's Hot Coffee & Good Food,http://www.joscoffee.com,242 W 2nd St,Austin,TX,(512) 469-9003,81557,9:00,20:00,Y,4
100086,Cafe Java,http://www.cafejava.info,"11900 Metric Blvd, Ste K",Austin,TX,(512) 339-7677,26188,9:00,21:00,Y,3
100087,Serranos Corporate,,2813 Scotia Bluff Loop,Austin,TX,(512) 328-9200,51120,11:00,23:00,Y,3
100088,Boathouse Grill,http://www.boathousegrill.com,6812 Ranch Road 620 N,Austin,TX,(512) 249-5200,76023,9:00,20:00,Y,4
100089,SUBWAY,http://www.subway.com,"900 E Braker Ln, Ste 105",Austin,TX,(512) 835-4226,13117,6:00,21:00,N,4
100090,Mc Donald's Corporate Office,http://www.mcdonalds.com,"5508 W Highway 290, Ste 201",Austin,TX,(512) 358-8274,41737,6:00,23:00,Y,4
100091,Sesami Hill,http://www.sesamehill.com,"6156 W Highway 290, Ste A",Austin,TX,(512) 891-8881,34534,11:00,21:00,Y,1
100092,Artz Rib House,http://www.artzribhouse.com,3209 Nancy Gale Dr,Austin,TX,(512) 442-8283,85376,9:00,20:00,Y,3
100093,Tasty Health Meals,,706 N Lamar Blvd,Austin,TX,(512) 428-5007,61722,11:00,22:00,N,3
100094,Mama Roux,,"13000 N I H 35, Ste 2-600",Austin,TX,(512) 490-1304,68027,6:00,20:00,Y,2
100095,McDonalds,http://www.mcdonalds.com,2426 E Riverside Dr,Austin,TX,(512) 444-9229,41635,8:00,21:00,Y,1
100096,Katz's Deli,http://www.katzneverkloses.com,618 W 6th St,Austin,TX,(512) 472-2037,69437,8:00,21:00,Y,1
100097,KFC,http://www.kfc.com,"801 E William Cannon Dr, Ste 400",Austin,TX,(512) 445-2343,37222,8:00,22:00,Y,5
100098,Practice Cafe,,"12335 Hymeadow Dr, Ste 350",Austin,TX,(512) 258-2224,17117,11:00,22:00,N,3
100099,Double Dave's,,3421 W William Cannon Dr,Austin,TX,(512) 892-0221,37521,8:00,23:00,N,5
100100,Taqueria Tacomore,,9402 Parkfield Dr,Austin,TX,(512) 821-1561,93134,8:00,22:00,Y,4
100101,Antonio's Tex Mex,http://www.antoniostexmex.com,11835 Jollyville Rd,Austin,TX,(512) 257-2144,15122,9:00,22:00,N,4
100102,Simon Sushi Barton Creek,http://www.amctheatres.com,2901 S Capital of Texas Hwy,Austin,TX,(512) 306-0248,27780,8:00,23:00,Y,5
100103,Thunder Cloud Subs,,201 E Riverside Dr,Austin,TX,(512) 441-5331,51250,8:00,21:00,N,1
100104,Mc Alister's Deli,http://www.mcalistersdeli.com,2765 Bee Cave Rd,Austin,TX,(512) 868-2435,54551,6:00,20:00,Y,2
100105,McDonalds,http://www.mcdonalds.com,5017 W Highway 290,Austin,TX,(512) 892-8780,64959,11:00,22:00,Y,3
100106,Burrito Factory,,"2025 Guadalupe St, Ste 244",Austin,TX,(512) 480-8680,74665,8:00,21:00,N,3
100107,Serranos Cafe,http://www.serranos.com,2701 Parker Ln,Austin,TX,(512) 218-4885,56630,8:00,22:00,N,5
100108,Gatti's Pizza,http://www.gattispizza.com,12206 Ranch Road 620 N,Austin,TX,(512) 331-6396,24324,9:00,22:00,N,1
100109,Pho King Restaurant,http://www.phokingtx.com,1021 E Parmer Ln,Austin,TX,(512) 491-7585,50250,8:00,22:00,N,3
100110,Catfish Parlour South,http://www.catfishparlour.com,4606 Burleson Rd,Austin,TX,(512) 443-1698,36674,8:00,22:00,Y,4
100111,South Austin Cardiac Rehab,,621 Radam Ln,Austin,TX,(512) 730-3333,92011,8:00,21:00,N,2
100112,SUBWAY,http://www.subway.com,"4410 E Riverside Dr, Ste 160",Austin,TX,(512) 389-2228,53967,11:00,23:00,N,5
100113,Senorita's Cantina,,9112 Anderson Mill Rd,Austin,TX,(512) 258-3663,65138,9:00,21:00,N,4
100114,Church's Chicken,http://www.churchs.com,14824 N I H 35,Austin,TX,(512) 251-4681,57011,11:00,22:00,N,1
100115,Tacodeli,http://www.tacodeli.com,12001 N Mo Pac Expy,Austin,TX,(512) 339-1700,90019,9:00,20:00,N,2
100116,Mangia Chicago Stuffed Pizza,http://www.mangiapizza.com,8012 Mesa Dr,Austin,TX,(512) 302-5200,14521,11:00,21:00,Y,3
100117,Mess Hall,http://www.messhallcafe.com,1019 Brazos St,Austin,TX,(512) 322-9625,61178,8:00,23:00,N,3
100118,Church's Chicken,http://www.churchs.com,6425 Burnet Rd,Austin,TX,(512) 380-9909,69534,11:00,21:00,N,3
100119,La Casita,http://www.lacasitaaustin.com,2404 E 7th St,Austin,TX,(512) 628-2000,55011,6:00,22:00,Y,2
100120,Gatti's Pizza,http://www.gattispizza.com,"2410 E Riverside Dr, Ste H6",Austin,TX,(512) 459-2222,62663,11:00,22:00,N,5
100121,We Fuse,http://www.wefuse.net,120 E 4th St,Austin,TX,(512) 236-1011,66186,9:00,20:00,N,2
100122,Golden Chick,http://www.goldenchick.com,1144 Airport Blvd,Austin,TX,(512) 927-1000,77162,8:00,23:00,Y,5
100123,Dirty Birds BBQ,,2209 E Cesar Chavez St,Austin,TX,(512) 348-6029,36444,11:00,21:00,N,1
100124,Phoenix Kafay,,5500 E Oltorf St,Austin,TX,(512) 386-7766,89388,11:00,20:00,N,2
